wkday,hr,value,road,veh_series,avgTrpODO_km,avgTrpTime_min,avg_maxVhlSpd,avgEngSpd
2,14,651,G,HS5,33.13,29.77,53.77,1101
6,12,651,G,HS5,53.66,31.88,56.95,1119
2,15,650,G,HS5,42.23,33.49,52.6,1086
2,13.5,648,G,HS5,42.06,34.55,56.99,1097
3,9.5,647,S,HS5,29.99,27.43,50.16,1083
3,15,647,G,HS5,75.86,36.02,55.17,1095
6,2,647,O,HS5,4.86,16.33,39.67,930
7,5.5,645,O,HS5,43.4,38.02,62.08,1114
3,9,645,G,HS5,31.01,26.72,44.86,1059
2,11,645,S,HS5,15.27,22.35,49.68,1055
5,9,640,G,HS5,86.25,29.38,49.7,1100
2,9.5,639,S,HS5,16.25,26.66,50.47,1075
1,11,639,G,HS5,38.6,25.78,48.98,1063
2,9,639,S,HS5,17.77,24.19,47.24,1078
2,13,638,G,HS5,41.69,35.5,59.63,1129
5,17,637,G,HS5,22.99,29.1,52.66,1084
1,10,637,G,HS5,109.75,32.88,51.2,1077
5,15,635,G,HS5,58.35,35.64,57.36,1124
6,15,635,G,HS5,28.23,33.21,52.66,1077
3,10.5,635,G,HS5,24.68,24.21,48.1,1059
5,1.5,634,O,HS5,4.38,15.76,40.59,975
7,9.5,634,G,HS5,135.72,30.37,49.27,1071
1,9,632,G,HS5,38.84,25.66,45,1065
6,17,632,G,HS5,27.6,29.79,50.9,1070
4,11,630,G,HS5,31.79,27.28,51.14,1083
2,10.5,630,S,HS5,20.06,25.91,52.67,1095
7,10.5,629,G,HS5,28.8,32.23,54.41,1087
5,15.5,628,G,HS5,21.87,29.39,52.17,1082
7,9,628,G,HS5,61.78,30.14,48.12,1079
7,11,628,G,HS5,27.65,31.96,52.84,1076
5,14,628,G,HS5,46.76,42.41,61.42,1148
2,17,627,S,HS5,134.1,28.33,57.87,1112
6,14,627,G,HS5,32.16,39.23,54.85,1099
1,17,626,G,HS5,36.29,34.61,58.91,1106
1,11.5,624,G,HS5,31.57,30.07,53.84,1092
3,15.5,623,S,HS5,21.94,28.54,57.83,1100
2,9,623,G,HS5,63.69,24.08,44.62,1060
6,14.5,623,G,HS5,39.51,35.75,52.43,1088
6,17.5,622,G,HS5,27.91,29.91,52.18,1066
6,18,620,G,HS5,45.18,31.2,53.09,1077
6,9,620,S,HS5,18.19,26.16,47.3,1069
4,16.5,620,G,HS5,31.01,29.47,53.64,1096
6,10,615,S,HS5,30.48,25.14,50.16,1077
1,14,613,G,HS5,37.29,43.19,59.63,1121
2,12.5,612,G,HS5,83.36,31.52,56.91,1103
7,10,612,G,HS5,31.02,30.98,51.72,1070
5,14.5,611,G,HS5,49.42,34.38,56.44,1109
5,10,610,S,HS5,18.04,26,50.76,1088
6,10.5,610,S,HS5,15.01,23.45,49.93,1074
1,13.5,609,G,HS5,45.33,49.41,66.65,1152
4,9.5,609,G,HS5,24.19,24.35,44.36,1060
2,17.5,608,S,HS5,33.42,27.09,54.78,1083
6,9,607,G,HS5,21.85,25.07,43.67,1061
4,15,607,G,HS5,22.92,32.18,55.38,1089
3,16.5,607,S,HS5,24.62,29.94,57.29,1112
2,10,607,G,HS5,72.31,24.61,47.07,1066
1,10.5,606,G,HS5,32.89,31.17,52.15,1071
2,10,606,S,HS5,15.71,23.99,47.85,1068
3,12,605,S,HS5,23.79,26.4,56.58,1121
5,16,605,G,HS5,23.67,31.89,49.7,1078
3,8.5,603,G,HS5,40.81,26.47,48.86,1103
7,16.5,603,G,HS5,31.37,32.5,55.68,1098
4,2,603,O,HS5,4.43,17.17,40.05,919
4,17.5,602,G,HS5,31.58,27.39,51.18,1059
4,18,602,G,HS5,28.29,26.65,51.33,1075
7,2.5,601,O,HS5,5.63,16.38,41.62,931
4,1.5,600,O,HS5,4.28,15.92,38.21,929
5,2,600,O,HS5,10.27,15.07,37.89,949
6,17.5,599,S,HS5,27.8,30.71,55.92,1088
7,10.5,598,S,HS5,14.92,24.94,50.52,1079
7,2,598,O,HS5,4.97,17.28,41.02,921
2,5.5,597,O,HS5,52.46,34.54,63.91,1160
4,13.5,597,G,HS5,33.47,37.33,56.02,1102
2,8.5,597,S,HS5,36.23,25.85,51.95,1082
5,17.5,596,G,HS5,27.7,29.99,53.25,1093
1,11.5,595,S,HS5,19.7,28.15,54.62,1089
5,5.5,594,O,HS5,26.92,31.49,63.46,1153
4,16,594,G,HS5,140.71,27.12,50.43,1075
3,11,593,G,HS5,26.77,22.38,47.15,1053
7,15,593,G,HS5,39.95,38.5,57.74,1114
6,17,593,S,HS5,28.31,29.15,55.68,1092
1,15.5,592,G,HS5,36.78,35.45,57.06,1089
1,17.5,592,G,HS5,27.69,31.61,56.69,1095
3,14.5,592,G,HS5,31.91,35.11,53.77,1094
7,17,591,G,HS5,24.59,32.24,54.41,1088
1,2,591,O,HS5,6.08,16.79,43.71,986
1,9.5,590,S,HS5,24.16,28.06,51.27,1081
1,16.5,590,G,HS5,31.93,33.68,55.17,1089
6,16.5,590,S,HS5,20.38,29.13,55.12,1088
1,10.5,589,S,HS5,22.7,24.81,51.03,1081
1,10,589,S,HS5,19.86,31.15,54.3,1095
3,0,588,O,HS5,7.23,20.08,48.01,985
6,12,587,S,HS5,17.75,19.56,51.45,1093
1,9,587,S,HS5,44.07,27.67,50.22,1094
3,5.5,586,O,HS5,31.75,31.11,60.24,1124
5,11,586,G,HS5,20.19,23.98,47.48,1055
6,13.5,584,G,HS5,36.11,35.88,55.35,1109
7,11.5,584,G,HS5,25.69,30.05,57.3,1127
5,11.5,584,S,HS5,12.15,22.28,53.7,1100
5,10.5,584,G,HS5,21.79,23.79,47.63,1048
6,8.5,584,G,HS5,42.88,31.41,51.85,1108
2,16,584,S,HS5,44.59,27.94,57.32,1110
5,17,583,S,HS5,16.86,27.93,56.41,1117
4,14.5,583,G,HS5,35.05,35.34,51,1057
5,16.5,583,G,HS5,24.37,28.71,52.09,1075
2,16.5,583,S,HS5,17.83,27.32,54,1092
5,12,582,G,HS5,55.8,31.85,55.44,1104
4,10,582,S,HS5,15.19,23.69,50.58,1085
6,12.5,581,G,HS5,48.02,37.51,58.81,1132
7,18.5,581,S,HS5,29,24.91,53.79,1102
1,12,580,G,HS5,36.99,36.04,55.59,1106
1,5.5,579,O,HS5,27.4,31.12,59.77,1115
4,12,579,G,HS5,86.46,29.55,53,1102
7,14.5,578,G,HS5,48.59,42,62.41,1110
4,0,578,O,HS5,6.71,19.08,46.62,997
2,14,577,S,HS5,19.14,28.52,53.71,1087
1,15,576,G,HS5,33.89,35.8,54.67,1091
5,15,576,S,HS5,43.93,27.8,54.07,1102
1,0,575,O,HS5,9.83,19.24,45.98,980
3,14,575,G,HS5,56.35,34.56,54.37,1086
3,18,574,S,HS5,70.67,22.09,50.83,1078
4,9.5,572,S,HS5,24.03,26,49.89,1092
3,9,572,S,HS5,14.09,24.6,47.78,1060
7,8.5,572,G,HS5,40,32.06,53.65,1112
5,9,571,S,HS5,39.14,24.29,48.79,1072
1,16,570,G,HS5,38.19,37.88,56.5,1088
3,10,570,S,HS5,15.15,22.61,47.46,1067
7,12,569,G,HS5,43.22,33.15,58.66,1119
7,9.5,569,S,HS5,29.01,26.52,51.09,1090
7,15.5,568,G,HS5,35.07,35,56.25,1098
2,0,568,O,HS5,15.55,18.71,43.7,982
7,5,566,O,HS5,42.89,33.41,60.2,1124
5,0,566,O,HS5,6.7,17.63,43.81,989
2,12.5,565,S,HS5,18.26,23.41,54.42,1112
5,11.5,563,G,HS5,22.4,26.68,49.39,1073
4,9,563,G,HS5,79.35,27.11,44.58,1058
1,14.5,563,G,HS5,41.63,39.68,58.26,1106
4,18,562,S,HS5,14.21,22.63,49.42,1068
5,18,562,S,HS5,17.01,23.41,53.24,1090
3,15,562,S,HS5,52.61,28.06,54.09,1096
4,5.5,561,O,HS5,32.28,31.04,62.37,1138
4,11,561,S,HS5,19.82,27.48,57.89,1116
4,17,561,S,HS5,15.15,27.23,55.58,1092
4,14,561,G,HS5,26.26,32.26,54.91,1108
4,9,558,S,HS5,24.78,26.65,52.04,1098
3,18.5,558,G,HS5,30.52,25.55,52.54,1088
1,17,557,S,HS5,47.71,30.25,54.26,1095
2,8.5,557,G,HS5,56.09,29.68,55.62,1120
5,10.5,557,S,HS5,22.46,24.22,53.3,1085
7,13.5,556,G,HS5,41.97,35.2,60.13,1126
6,8.5,556,S,HS5,27.21,27.22,52.11,1086
2,2,556,O,HS5,12.34,15.84,41.15,949
3,8,556,S,HS5,28.23,28.89,57.24,1110
5,14.5,554,S,HS5,19.11,27.78,54.97,1090
7,0,554,O,HS5,9.11,17.86,48.02,1024
2,13.5,553,S,HS5,26.76,31.47,60.12,1139
2,13,553,S,HS5,22.41,31.34,58.53,1127
3,12.5,553,G,HS5,66.74,34.81,57.67,1127
3,16,552,S,HS5,14,27.31,54.49,1083
