name,value,position,veh_series,avgOStime_min,avgOSmileage_km,vin
0~50%,6,inside,HS5,8.17,13.83,LFB1E6674KJB07832
0~50%,56,inside,HS5,3.25,6.02,LFB1E6076KJB04665
0~50%,3,inside,HS5,0.33,0.33,LFB1E6075KJB12319
0~50%,2,inside,HS5,4.51,7.5,LFB1E6075KJB04429
0~50%,1,inside,HS5,0.17,0,LFB1E6672KJB17761
50%+,28,inside,HS5,13.39,28.89,LFB1E667XKJB08533
0~50%,14,inside,HS5,0.6,0.86,LFB1E6677KJB03211
0~50%,8,inside,HS5,6.96,12.38,LFB1E6674KJB16384
0~50%,2,inside,HS5,0.33,1,LFB1E6078KJB11603
0~50%,364,inside,HS5,9.05,143143.97,LFB1E6072KJB00502
0~50%,2,inside,HS5,0.83,1,LFB1E6674KJB14893
0~50%,65,inside,HS5,6.88,12.37,LFB1E6673KJB08258
0~50%,19,inside,HS5,2.8,8.37,LFB1E607XKJB10310
0~50%,8,inside,HS5,1.02,1.75,LFB1E6679KJB09978
0~50%,73,inside,HS5,7.03,12.56,LFB1E6079KJB09679
0~50%,23,inside,HS5,1.35,3.61,LFB1E6070KJB02541
0~50%,1,inside,HS5,0.67,1,LFB1E6671KJB16696
0~50%,44,inside,HS5,2.76,5.07,LFB1E6676KJB02146
0~50%,21,inside,HS5,11.5,27.05,LFB1E6076KJB05752
0~50%,56,inside,HS5,9.83,16.93,LFB1E6070KJB11093
0~50%,9,inside,HS5,3.48,5.78,LFB1E667XKJB16339
0~50%,60,inside,HS5,11.46,20.83,LFB1E6075KJB05516
50%+,5,inside,HS5,11.78,37.8,LFB1E6672KJB14763
0~50%,1,inside,HS5,0.17,0,LFB1E6075KJB11915
0~50%,37,inside,HS5,5.74,9.95,LFB1E6674KJB09581
0~50%,100,inside,HS5,10.94,19.92,LFB1E667XKJB08449
0~50%,62,inside,HS5,4.58,7.98,LFB1E667XKJB06958
0~50%,90,inside,HS5,9.24,16.96,LFB1E6673KJB09345
0~50%,14,inside,HS5,2.64,4.64,LFB1E6074KJB07791
0~50%,5,inside,HS5,0.62,0.8,LFB1E6672KJB15508
0~50%,2,inside,HS5,0.26,0.5,LFB1E6075KJB06178
0~50%,21,inside,HS5,6.77,12.14,LFB1E6672KJB07618
0~50%,153,inside,HS5,5.84,10.69,LFB1E6078KJB05462
0~50%,24,inside,HS5,2.03,4.63,LFB1E6676KJB03233
0~50%,52,inside,HS5,5.55,9.67,LFB1E6078KJB03971
0~50%,72,inside,HS5,4.79,8.96,LFB1E6676KJB01742
0~50%,20,inside,HS5,2.78,5.45,LFB1E6075KJB06603
50%+,1,inside,HS5,35,67,LFB1E6671KJB09215
0~50%,210,inside,HS5,4.07,7.25,LFB1E6070KJB04290
0~50%,1,inside,HS5,47.17,82,LFB1E6075KJB15155
0~50%,1,inside,HS5,0.32,0,LFB1E6672KJB06789
0~50%,6,inside,HS5,1.66,2.5,LFB1E6674KJB15218
0~50%,7,inside,HS5,7.35,34.86,LFB1E6075KJB07265
0~50%,22,inside,HS5,5.33,9,LFB1E6074KJB07029
0~50%,5,inside,HS5,2.93,5.4,LFB1E6075KJB05774
0~50%,37,inside,HS5,4.09,7.11,LFB1E6674KJB13727
50%+,1,inside,HS5,5.37,11,LFB1E6076KJB03841
0~50%,42,inside,HS5,5.13,8.88,LFB1E6674KJB05837
0~50%,9,inside,HS5,4.53,9,LFB1E6077KJB06313
50%+,2,inside,HS5,45.5,83,LFB1E6072KJB08888
50%+,3,inside,HS5,19.11,38.33,LFB1E6673KJB05943
0~50%,68,inside,HS5,13.33,31.96,LFB1E6077KJB05484
0~50%,1,inside,HS5,0.17,1,LFB1E6075KJB06861
0~50%,36,inside,HS5,5.97,10.19,LFB1E667XKJB09794
0~50%,246,inside,HS5,3.43,6.02,LFB1E6077KJB07400
0~50%,3,inside,HS5,0.61,0.67,LFB1E6674KJB09077
50%+,3,inside,HS5,13.39,25.67,LFB1E6672KJB12768
0~50%,7,inside,HS5,1.67,2.71,LFB1E6672KJB16853
0~50%,60,inside,HS5,6.72,12.12,LFB1E6074KJB07287
0~50%,40,inside,HS5,2.79,4.68,LFB1E6078KJB02805
0~50%,3,inside,HS5,5.33,9.67,LFB1E6076KJB14225
0~50%,89,inside,HS5,12.8,24.13,LFB1E6074KJB09203
0~50%,255,inside,HS5,10.64,22.38,LFB1E6077KJB06571
0~50%,25,inside,HS5,13.53,24.44,LFB1E6074KJB07712
50%+,2,inside,HS5,10.9,37,LFB1E6673KJB15582
0~50%,9,inside,HS5,5.85,9.89,LFB1E6671KJB09389
0~50%,38,inside,HS5,8.66,16.66,LFB1E6074KJB16264
0~50%,43,inside,HS5,11.96,21.07,LFB1E6074KJB08374
0~50%,1,inside,HS5,0.17,0,LFB1E6674KJB08673
0~50%,1,inside,HS5,0.17,1,LFB1E6076KJB13396
0~50%,29,inside,HS5,5.88,10.45,LFB1E6673KJB14836
0~50%,58,inside,HS5,6.9,12.86,LFB1E6074KJB06883
0~50%,39,inside,HS5,7.34,13.97,LFB1E6673KJB08437
0~50%,32,inside,HS5,7.56,13.16,LFB1E6677KJB04052
0~50%,6,inside,HS5,3.24,5.83,LFB1E6075KJB11669
0~50%,6,inside,HS5,7.22,12.17,LFB1E6076KJB07422
0~50%,208,inside,HS5,3.69,7.31,LFB1E6677KJB02561
0~50%,12,inside,HS5,8.38,14.42,LFB1E6676KJB10215
50%+,1,inside,HS5,0.05,0,LFB1E6674KJB01108
0~50%,8,inside,HS5,3.81,6.88,LFB1E6078KJB10953
0~50%,18,inside,HS5,2.82,4.94,LFB1E6671KJB08985
0~50%,57,inside,HS5,11.16,20.14,LFB1E6074KJB09461
50%+,2,inside,HS5,8.78,16.5,LFB1E6671KJB08307
0~50%,20,inside,HS5,4.14,5.45,LFB1E6076KJB08084
0~50%,1,inside,HS5,0.17,1,LFB1E6074KJB15860
0~50%,111,inside,HS5,7.58,13.68,LFB1E6074KJB07970
50%+,2,inside,HS5,26.09,0,LFB1E6677KJB01054
0~50%,83,inside,HS5,11.26,20.13,LFB1E6078KJB07132
50%+,1,inside,HS5,0.73,0,LFB1E6675KJB00940
0~50%,183,inside,HS5,4.43,7.83,LFB1E6075KJB04866
0~50%,58,inside,HS5,5.03,9.26,LFB1E667XKJB07799
0~50%,89,inside,HS5,6.73,12.09,LFB1E6676KJB03412
0~50%,55,inside,HS5,3.11,4.82,LFB1E6679KJB00780
50%+,3,inside,HS5,34.26,4.33,LFB1E6674KJB00704
0~50%,4,inside,HS5,0.54,1,LFB1E6670KJB17726
0~50%,1,inside,HS5,0.33,0,LFB1E6672KJB16349
0~50%,11,inside,HS5,6.17,10.82,LFB1E6670KJB09836
0~50%,29,inside,HS5,6.55,11.48,LFB1E6078KJB14193
0~50%,47,inside,HS5,4.11,7,LFB1E6672KJB08459
0~50%,3,inside,HS5,0.29,1,LFB1E6076KJB07680
0~50%,1,inside,HS5,0.17,0,LFB1E6071KJB01365
0~50%,8,inside,HS5,7.63,12.75,LFB1E6075KJB07444
0~50%,68,inside,HS5,0.93,1.62,LFB1E6675KJB02347
0~50%,3,inside,HS5,7.94,13.67,LFB1E6678KJB11012
50%+,2,inside,HS5,16.76,34.5,LFB1E6673KJB13587
0~50%,17,inside,HS5,8.52,15.47,LFB1E6076KJB02849
50%+,4,inside,HS5,30.36,62.25,LFB1E6673KJB05697
0~50%,35,inside,HS5,8.23,14.51,LFB1E6672KJB09546
0~50%,27,inside,HS5,5.44,9.59,LFB1E6078KJB07390
50%+,5,inside,HS5,17.5,32.6,LFB1E6673KJB07613
0~50%,1,inside,HS5,0.33,1,LFB1E6075KJB16421
0~50%,2,inside,HS5,6.35,64.5,LFB1E6077KJB15044
0~50%,18,inside,HS5,2.46,-0.11,LFB1E6676KJB03670
50%+,6,inside,HS5,42.07,89.83,LFB1E6073KJB05823
0~50%,86,inside,HS5,6.97,12.97,LFB1E6077KJB13553
0~50%,66,inside,HS5,4.9,8.61,LFB1E667XKJB09973
50%+,1,inside,HS5,13.33,25,LFB1E6673KJB08275
0~50%,23,inside,HS5,4.45,7.57,LFB1E6075KJB09193
0~50%,1,inside,HS5,0.17,0,LFB1E6674KJB17146
50%+,3,inside,HS5,32.5,62.67,LFB1E6672KJB08039
0~50%,29,inside,HS5,1.83,2.9,LFB1E6675KJB10495
